competition_id,competition_name
11730241,Nigerian Premier League
11733993,Launceston Challenger 2018
11735282,Budapest Challenger 2018
11735282,Hungarian Challenger Open 2018
11735649,ATP Ecuador 2018
11735649,Ecuador Open 2018
11735984,Kunal Patel San Francisco Open 2018
11735984,San Francisco Challenger 2018
11736609,ATP Sud de France 2018
11736609,Open Sud de France 2018
11736771,ATP Sofia 2018
11740604,ITF Manacor
11747495,WTA Doha 2018
11747806,Chennai Challenger 2018
11748326,ATP Rotterdam 2018
11748396,Cherbourg Challenger 2018
11748704,ATP Argentina 2018
11748704,Argentina Open 2018
11750125,ATP New York 2018
11759935,WTA Dubai 2018
11759973,Kyoto Challenger 2018
11760982,Bergamo Challenger 2018
11761038,ATP Rio 2018
11761156,ATP Delray Beach 2018
11761156,Delray Beach Open 2018
11761336,Morelos Challenger 2018
11761336,Morelos Open Credito Real 2018
11762150,ATP Marseille 2018
11762232,WTA Budapest 2018
11770149,Austrian Amateurs
11772531,Yokohama Challenger 2018
11772695,ATP Dubai  2018
11772695,Dubai Duty Free Tennis Championships  2018
11772783,Vietnamese Super Cup
11773269,ATP Brasil Open 2018
11773321,WTA Abierto Mexicano 2018
11773422,WTA Indian Wells 2018
11773448,Punta Challenger 2018
11773489,ATP Abierto Mexicano 2018
11773760,Indian Wells Challenger 2018
11773760,Oracle Challenger Series  2018
11777063,ITF Xiamen
11777584,Chinese Super Cup
11778656,ICC WC Qualifier Warm Up Matches
11780281,Georgia Erovnuli Liga 2
11780281,Georgian Erovnuli Liga 2
11781603,ICC World Cup Qualifier
11785567,Zhuhai Challenger 2018
11786317,Santiago Challenger 2018
11790869,ITF Bhopal
11791006,BNP Paribas Open 2018
11791006,Indian Wells 2018
11794060,Malaysian FAM League
11799196,Irish Ladies
11799196,Irish Women's Matches
11802732,Portuguese U19 Championship
11803015,2018 Pingshan Open 2018
11803015,Shenzhen Challenger 2018
11804156,Challenger Banque Nationale de Drummondville 2018
11804156,Challenger Drummondville 2018
11804156,Drummondville Challenger 2018
11804597,Faroe Premier League
11805264,KNVB Beker U19
11805812,Irving Challenger 2018
11805812,Irving Tennis Classic 2018
11808876,ITF Croatia Futures
11812477,Indian Super Cup
11814475,Algerian U21 Ligue 1
11815607,Quijing Challenger 2018
11816454,Lille Challenger 2018
11819594,Miami Open 2018
11822824,San Marino Cup
11830034,Marbella Challenger 2018
11830096,Saint Brieuc Challenger 2018
11831240,ITF Croissy-Beaubourg
11831240,ITF Croissy-Beaubourg.
11832085,Le Gosier Challenger 2018
11832130,San Luis Challenger 2018
11832130,San Luis Open 2018
11838780,Polish 2 Liga
11839812,Zambian Premier League
11841357,Russian PFL
11842409,Ferrero Challenger 2018
11842589,WTA Charleston 2018
11842792,WTA Monterrey 2018
11842857,Panama City Challenger 2018
11853315,2018 Santaizi Challenger 2018
11853315,Taipei Challenger 2018
11853536,Swedish Division 1
11853859,Barletta Challenger 2018
11854151,ATP Houston 2018
11854233,WTA Bogota 2018
11854396,Mexico City Challenger 2018
11854876,ATP Marrakech 2018
11855249,WTA Lugano 2018
11856162,Norwegian U19 Interkrets
11858223,ITF Osaka
11862194,Irish U19 National League
11865314,WTA Zhengzhou 2018
11865977,Nanchang Challenger 2018
11866388,ATP Monte-Carlo Masters 2018
11866532,Tunis Challenger 2018
11866747,Sarasota Challenger 2018
11866783,Guadalajara Challenger 2018
11869656,Ethiopian Premier League
11877117,Anning Challenger 2018
11877117,Challenger Anning 2018
11877366,WTA Stuttgart 2018
11877575,ATP Hungarian Open 2018
11877617,ATP Barcelona Open 2018
11877831,Francavilla Challenger 2018
11878029,Tallahassee Challenger 2018
11878066,Leon Challenger 2018
11878953,WTA Istanbul 2018
11880964,ITF Quanzhou
11881199,Qatari Emir Cup
11883317,Faroe Cup
11887991,Finnish Kakkonen
11888073,WTA Anning 2018
11888606,Seoul Challenger 2018
11888732,WTA Prague 2018
11888841,WTA Rabat 2018
11888877,ATP Istanbul Open 2018
11889031,ATP Estoril Open 2018
11889126,ATP Munich 2018
11889218,Ostrava Challenger 2018
11889442,Glasgow Challenger 2018
11889658,Savannah 2018
11889658,Savannah Challenger 2018
11889690,Puerto Vallarta Challenger 2018
11889690,Puerto Vallarta Open 2018
11889817,Chinese Taipei Matches
11891653,Tanzanian Premier League
11892659,ITF Tbilisi
11893330,T20 Blast
11898626,Madrid Open 2018
11898626,Mutua Madrid Open 2018
11899969,Gimcheon Challenger 2018
11900421,Karshi Challenger 2018
11900778,Roma Challenger 2018
11900852,Aix en Provence Challenger 2018
11900852,Challenger Aix en Provence 2018
11901098,Braga Challenger 2018
11901278,ITF Cagnes-Sur-Mer
11905641,Pakistan Challenge Cup
11911269,Busan Challenger 2018
11911478,Italian Open 2018
11911702,Samarkand Challenger 2018
11911949,Bordeaux Challenger 2018
11911988,Hellbronn Challenger 2018
11912081,Lisbon Challenger 2018
11919689,"Internationaux de Strasbourg - Strasbourg, F 2018"
11919689,WTA Strasbourg 2018
11920814,Divizia Nationala
11921011,WTA Nurnberg 2018
11921155,ATP Geneva 2018
11921215,ATP Lyon 2018
11921399,Mestre Challenger 2018
11921505,Loughborough Challenger 2018
11921505,Loughborough Trophy 2018
11923634,French Open 2018
11923634,Roland Garros 2018
11924180,ITF Les Franqueses
11924184,ITF Les F'ses Del Valles
11924184,ITF Les Franqueses Del Valles
11925069,ITF Baotou
11927161,ITF Osprey
11930267,Lithuania Cup
11930714,Challenger Vicenza 2018
11930826,ITF Luzhou
11936455,Polish IV Liga
11938187,Women's Asia Cup T20
11938262,Shymkent Challenger 2018
11938659,Surbiton Challenger 2018
11939439,ITF Singapore
11939538,French Open Mixed Doubles 2018
11939596,Poznan Challenger 2018
11939647,Prostejov Challenger 2018
11939775,ITF Changsha
11940941,Global T20 Canada
11941512,WTA Bol 2018
11945944,Ricoh Open 2018
11945980,Almaty Challenger 2018
11946068,WTA Nottingham 2018
11946188,Mercedes Cup 2018
11946379,Lyon Challenger 2018
11946421,Caltanissetta Challenger 2018
11946562,Nottingham Challenger 2018
11949854,ITF Sumter
11949988,Georgia Cup
11953929,WTA Birmingham
11953929,WTA Birmingham 2018
11953997,ATP Halle 2018
11954023,Fergana Challenger 2018
11954078,ATP London 2018
11954118,Internazionali Tennis Citta L'Aquila 2018
11954118,L'Aquila Challenger 2018
11954150,Blois Challenger 2018
11954184,Poprad Tatry Challenger 2018
11954184,Poprad Tatry Challenger Tour 2018 2018
11954324,Ilkley Challenger 2018
11955204,"Mallorca Open - Mallorca, Spain 2018"
11955204,WTA Mallorca 2018
11956598,ITF Klosters
11957119,ITF Daegu
11960548,Eastbourne International 2018
11960548,Nature Valley International 2018
11961396,ATP Antalya 2018
